gid,pop2009,county,subcounty,ward,uid,scuid,cuid,voters,david_waih,george_waj,raila_odin,reuben_kig,william_ru
460,26147,NYANDARUA,Oljoroorok Sub County,Weru Ward,yOvD8h5gUOb,fVSw60UAC3W,mYZacFNIB3h,,,,,,
463,20159,NYANDARUA,Ndaragwa Sub County,Kiritta Ward,xzY6X2bhxaT,EESGLsSLTqH,mYZacFNIB3h,,,,,,
464,29960,NYANDARUA,Ndaragwa Sub County,Central Ward,e0xkgk6TZEG,EESGLsSLTqH,mYZacFNIB3h,,,,,,
465,23441,NYANDARUA,Ndaragwa Sub County,Shamata Ward,W9GVYGq6UqK,EESGLsSLTqH,mYZacFNIB3h,,,,,,
466,20686,NYERI,Tetu Sub County,Dedan kimathi Ward,LDPAHGr7qUm,YT3tecc4atw,ptWVfaCIdVx,,,,,,
467,31003,NYERI,Tetu Sub County,Wamagana Ward,AO0q4JiVIMz,YT3tecc4atw,ptWVfaCIdVx,,,,,,
468,26631,NYERI,Tetu Sub County,Aguthi-gaaki Ward,JIQYJYd5CzO,YT3tecc4atw,ptWVfaCIdVx,,,,,,
469,17264,NYERI,Kieni West Sub County,Mweiga Ward,uhmsPJrZCXF,odOtfcaMg4p,ptWVfaCIdVx,,,,,,
470,26291,NYERI,Kieni East Sub County,Naromoru/kiamathaga Ward,REFeM2dROq3,YXt5ETQPRlB,ptWVfaCIdVx,,,,,,
471,19446,NYERI,Kieni West Sub County,Mwiyogo/endarasha Ward,kBloQxkcKxZ,odOtfcaMg4p,ptWVfaCIdVx,,,,,,
472,23712,NYERI,Kieni West Sub County,Mugunda Ward,Ls8TbRfbKBs,odOtfcaMg4p,ptWVfaCIdVx,,,,,,
473,18890,NYERI,Kieni West Sub County,Gatarakwa Ward,cWSGKfzRIhc,odOtfcaMg4p,ptWVfaCIdVx,,,,,,
474,21804,NYERI,Kieni East Sub County,Thegu river Ward,lZXZ7HwrMGu,YXt5ETQPRlB,ptWVfaCIdVx,,,,,,
475,22084,NYERI,Kieni East Sub County,Kabaru Ward,fB16JFnw8Ex,YXt5ETQPRlB,ptWVfaCIdVx,,,,,,
476,26321,NYERI,Kieni East Sub County,Gakawa Ward,FsRuO9llshq,YXt5ETQPRlB,ptWVfaCIdVx,,,,,,
477,22946,NYERI,Mathira West Sub County,Ruguru Ward,Z2yWQMpy2Ki,msIc1uFAY6B,ptWVfaCIdVx,,,,,,
478,19722,NYERI,Mathira East Sub County,Magutu Ward,AZOhKeOxHR7,vznKK4IegIL,ptWVfaCIdVx,,,,,,
617,33539,TURKANA,Turkana West Sub County,Kakuma Ward,bg4tS3m8rZA,HK5SUCMQmsw,kphDeKClFch,,,,,,
621,18272,TURKANA,Turkana West Sub County,Kalobeyei Ward,WwMThzLSS3I,HK5SUCMQmsw,kphDeKClFch,,,,,,
623,42211,TURKANA,Turkana West Sub County,Nanaam Ward,C93goWh2C1d,HK5SUCMQmsw,kphDeKClFch,,,,,,
627,35506,TURKANA,Turkana Central Sub County,Lodwar Township Ward,v27o9CuZh11,zd8rhYqGowE,kphDeKClFch,,,,,,
628,22784,TURKANA,Turkana Central Sub County,Kanamkemer Ward,U0eLQb7xmyu,zd8rhYqGowE,kphDeKClFch,,,,,,
629,31629,TURKANA,Loima Sub County,Kotaruk/Lobei Ward,z3pqrBr5TyV,OZiGQn2R8kK,kphDeKClFch,,,,,,
631,19848,TURKANA,Loima Sub County,Loima Ward,jRyJjLWoDig,OZiGQn2R8kK,kphDeKClFch,,,,,,
634,41924,TURKANA,Turkana South Sub County,Katilu Ward,XtEn1yMSsKf,iTw0sFjlqZ2,kphDeKClFch,,,,,,
639,20983,TURKANA,Turkana East Sub County,Katilia Ward,NhFq5rXnO3r,dr8gOvVAdiE,kphDeKClFch,,,,,,
640,44045,TURKANA,Turkana East Sub County,Lokori/kochodin Ward,AY46zJ3BT9H,dr8gOvVAdiE,kphDeKClFch,,,,,,
656,43565,WEST POKOT,Pokot North Sub County,Alale Ward,Oe8JEzBVDa9,YXpHG1Ez8V2,XWALbfAPa6n,,,,,,
657,41563,WEST POKOT,Pokot South Sub County,Chepareria Ward,cQvnOvaqDNE,u2zJahNiSP5,XWALbfAPa6n,,,,,,
